category,name,price,description
Starters & Snacks,Tully Tots,11.79,"Made from scratch with shredded potatoes, cheddar-jack cheese and Romano cheese all rolled up and deep-fried. Served with a spicy cheese sauce."
Starters & Snacks,Super Nachos,15.49,"Tortilla chips topped with a mix of spicy beef and refried beans, nacho cheese sauce, olives, pico de gallo, jalapeños, scallions and shredded lettuce. Sour cream and salsa on the side. Add guacamole $2.39"
Starters & Snacks,Mozzarella Sticks,11.49,Lightly battered and served with our own marinara sauce.
Starters & Snacks,Louisiana Crab Dip,11.49,"A blend of real and imitation crab meat, homemade and creamy with a little zing! Served with tortilla chips."
Starters & Snacks,Tully's Habañero Wings,15.69,This is where heat meets flavor! Lightly dusted with flour and tossed in our homemade habañero sauce. Bleu Cheese included.
Starters & Snacks,Garlic Parm Wings,15.69,Lightly dusted with four then tossed in our homemade garlic Parmesan sauce. Celery and Tully's Ranch dressing included.
Starters & Snacks,Salt & Pepper Wings,15.29,Tossed in our salt and pepper seasoning. Celery and Bleu Cheese included.
Starters & Snacks,Tully's Original Wings,15.29,"Lightly dusted with flour. Choose from Tully’s signature sauces: Mild, Medium, Hot, or BBQ. Celery and Bleu Cheese included."
Starters & Snacks,Tully's Buffalo Wings,15.29,Tossed in homemade Buffalo sauce. Celery and Bleu cheese included.
Starters & Snacks,Loaded Fries,13.29,"Smothered with melted Jack-cheddar cheese, bacon bits and Tully’s Ranch for dipping."
Starters & Snacks,Tex-Mex Eggrolls,12.99,"Filled with spicy chicken, corn, black beans, peppers, onions and melted cheese. Served with spicy Cajun sauce, salsa and tortilla chips."
Starters & Snacks,Chicken Wing Dip,12.59,Our homemade spicy dip topped with melted Jack-cheddar cheese and sour cream. Served with tortilla chips.
Starters & Snacks,Chicken-N-Cheese,12.19,Tully’s Tenders® and mozzarella sticks with Tully’s Honey Mustard and our own marinara sauce.
Starters & Snacks,Beef Birria Quesadilla,15.99,"Shredded beef marinated in chipotle adobo with cheddar-jack cheese, tomatoes, jalapeños, black olives, scallions, cilantro and black beans in a flour tortilla. Served with sour cream, shredded lettuce and pico de gallo. Add guacamole $2.39"
Starters & Snacks,Veggie Quesadilla,11.99,"A flour tortilla packed with cheese, tomatoes, jalapeños, black olives and scallions. Served with sour cream and pico de gallo."
The Best Chicken Tenders on Earth®,10 Tully's Tenders®,19.99,Served with Tully’s Honey Mustard sauce. Sub Buffalo or Asian Tenders add $1.00.
The Best Chicken Tenders on Earth®,Tully's Tenders® Appetizer,13.99,Hand battered chicken tenders served with fries and Tully’s Honey Mustard.
The Best Chicken Tenders on Earth®,Asian Tenders Appetizer,14.39,Tully’s Tenders® tossed in a sweet ‘n spicy Asian sauce. Served with fries and Tully’s Ranch.
The Best Chicken Tenders on Earth®,Buffalo Tenders Appetizer,14.39,Tully’s Tenders® dipped in Buffalo wing sauce. Served with fries and creamy Bleu Cheese.
The Best Chicken Tenders on Earth®,Add 3 Tully’s Tenders®,6.49,Served with Tully's Honey Mustard sauce.
Homemade Soups,French Onion Soup,6.89,"Served piping hot with homemade croutons, melted Swiss and mozzarella."
Homemade Soups,Homemade Chili,6.89,Thick and hearty. Topped with melted cheddar cheese. Served with tortilla chips.
Homemade Soups,Baked Potato Soup,5.99,"Loaded with chunks of Idaho potatoes, celery, bacon bits and Jack-cheddar cheese."
Salad Entrées,Balsamic Chicken Salad,15.79,"Romaine tossed with Balsamic vinaigrette dressing and tomato bruschetta. Topped with roasted peppers, olives, Romano cheese, grilled chicken and scallions."
Salad Entrées,Mexican Chopped Salad,15.49,"Southwest grilled chicken, corn, black beans, pico de gallo, cucumbers, guacamole, red onions and Jack-cheddar cheese. Served over iceberg lettuce, tossed with a salsa ranch."
Salad Entrées,Grilled Chicken Caesar Salad,14.99,"Crisp Romaine tossed with Caesar dressing and homemade croutons, topped with grilled chicken."
Salad Entrées,Tavern Steak Salad,17.99,"Mixed greens tossed with red wine vinaigrette, cucumbers, diced tomatoes, scallions, potatoes and topped with grilled USDA Choice Flat iron steak and crumbly Bleu Cheese."
Salad Entrées,BBQ Chicken Salad,14.89,"Iceberg lettuce tossed with homemade Tully’s Ranch, black beans, corn, and Jack-cheddar cheese. Topped with scallions, cilantro, diced tomatoes, tortilla chips and BBQ grilled chicken."
Salad Entrées,Tully's Tenders® Salad,14.99,"Iceberg lettuce with fresh vegetables, black olives, and Jack-cheddar cheese. Topped with Tully’s Tenders®. Sub Buffalo or Asian Tenders $.40"
Huge Deli Sandwiches,The Tully,14.99,Shaved turkey and ham lightly grilled and topped with melted white American cheese and bacon with lettuce and tomato on butter toasted deli bread.
Huge Deli Sandwiches,The Ultimate BLT,14.99,"Crisp bacon, lettuce, tomato and mayo on country white bread."
Huge Deli Sandwiches,New York Grilled Reuben,15.79,"Corned beef, Thousand Island dressing, sauerkraut and melted Swiss on rye."
Huge Deli Sandwiches,The Ultimate Grilled Cheese,13.89,"Cheddar, yellow and white American cheeses on country white bread."
Huge Deli Sandwiches,Classic Tuna Melt on Rye,14.99,Grilled with melted Cheddar cheese and sliced tomatoes on Rye.
Tully's Favorites,California Fish Taco,15.99,"A crisp tortilla packed with hand breaded haddock, melted cheese, black beans, pico de gallo, scallions, black olives, jalapeños and our spicy homemade dressing. Served with rice and beans. Add guacamole $2.39."
Tully's Favorites,Santa Fe Chicken Dinner,16.99,"Two fresh 6oz chicken breast grilled then topped with teriyaki sauce, American cheese, mushrooms, and bacon. Served with coleslaw and choice of side."
Tully's Favorites,Seafood Combo,16.99,"Hand breaded shrimp and lightly breaded haddock, served with choice of side, coleslaw and garlic bread."
Tully's Favorites,Fish Fry Haddock Dinner,16.49,"Lightly breaded haddock with choice of potato, coleslaw and tartar sauce."
Tully's Favorites,Mile High Meatloaf,15.99,Homemade meatloaf (contains mushrooms) served on top of country mashed potatoes and topped with fresh gravy. Served with coleslaw.
Tully's Favorites,Surf 'n Turf,19.79,6oz USDA Angus Flat Iron steak served with sautéed shrimp lightly seasoned with Cajun spices and fresh vegetables. (Under 800 calories)
Tully's Favorites,Tully's Tenders® Dinner,15.99,Fresh hand battered chicken tenders with fries. Served with Tully’s Honey Mustard and coleslaw.
Tully's Favorites,Asian Tenders Dinner,16.69,"Tully’s Tenders dipped in house sweet ‘n spicy Asian sauce. Served with fries, Tully’s Ranch and coleslaw."
Tully's Favorites,Buffalo Tenders Dinner,16.69,"Tully’s Tenders dipped in house Buffalo sauce. Served with fries, Bleu Cheese and coleslaw."
Sandwich Platters,Bacon Chicken Teriyaki Sandwich,14.49,"An old favorite! Grilled chicken breast topped with teriyaki sauce, American cheese, mushrooms and bacon."
Sandwich Platters,Cajun Cheddar Chicken Sandwich,13.99,"Grilled chicken breast seasoned with Cajun spices and topped with cheddar cheese. Served on a toasted roll with lettuce, tomato and Cajun mayo."
Sandwich Platters,Blackened Mahi Sandwich,15.69,"Grilled to perfection with diced pickles, lettuce and Cajun mayo."
Sandwich Platters,Fish Fry Haddock Sandwich,13.79,"Lightly hand breaded haddock, served with lettuce and a side of tartar sauce."
Sandwich Platters,Cheese Steak,14.59,"Sliced sirloin topped with onions, peppers, mushrooms and melted American cheese."
Sandwich Platters,Buffalo Chicken,13.99,"Hand battered chicken breast dipped in Buffalo sauce, topped with Bleu Cheese."
Sandwich Platters,Ranch Chicken,14.29,"Chicken breast hand battered and lightly fried. Topped with American cheese, lettuce, tomato, bacon and Tully’s Ranch dressing."
Burgers,Fiery Jalapeño Cheddar Burger,13.99,Seasoned with our fiery habañero roasted garlic seasoning and jalapeños right in the burger. Topped with cheddar cheese and Cajun mayo.
Burgers,American Classic Burger,13.99,"Our fresh steak burger topped with American cheese and freshly sliced white onion with diced pickles, ketchup and mustard. A must try!"
Burgers,Basic Burger,12.99,Lettuce and tomato.
Burgers,Knife & Fork Cheesy Philly Burger,15.49,"Topped with diced onions, peppers, American cheese and our homemade mac 'n cheese sauce poured all over the bun."
Burgers,Cheeseburger,13.59,"Lettuce, tomato and choice of American, cheddar, or Swiss cheese."
Burgers,Smokehouse Burger,13.99,"Bacon, cheddar cheese, BBQ sauce and our Cajun mayo topped with fresh, fried onion straws."
Burgers,Bacon Cheeseburger,14.79,"Five strips of bacon, American cheese, lettuce, tomato and mayo."
Burgers,Mountain Melt Burger,15.89,"Our huge burger packed between our Ultimate Grilled Cheese with lettuce, tomato and mayo."
Burgers,Mushroom Swiss Burger,13.79,Sautéed mushrooms and melted Swiss cheese.
Burgers,Turkey Burger,13.49,Juicy ground seasoned turkey grilled with lettuce and tomato.
Burgers,Garden Burger,13.99,"Meatless burger with pickled red onions, lettuce, tomato, mustard, ketchup and pickles."
Pastas,Baked Ziti,15.99,"A generous portion of ziti tossed in our own marinara sauce with Romano and mozzarella cheese, then baked."
Pastas,Buffalo Mac & Cheese,17.89,Tender chicken sautéed in buffalo sauce then tossed with ziti pasta and our homemade cheese sauce. Topped with butter crumb topping and melted jack‐cheddar cheese.
Pastas,Chicken & Broccoli Alfredo,17.29,Tender chicken and broccoli tossed with fettuccine Alfredo.
Pastas,Cheesy Chicken & Broccoli Bake,16.99,"Homemade cheddar cheese sauce tossed with tender chicken, ziti and broccoli. Topped with a buttery crumb topping."
Pastas,Cajun Chicken Pasta,17.89,"Fresh chicken, mushrooms and ziti tossed in a spicy Alfredo sauce."
Pastas,Chicken Parmigiana,16.49,"Chicken breast breaded Italian style, topped with our own marinara sauce, Romano and mozzarella with a side of fettuccine."
Rice Bowls,Shrimp Creole,14.99,"A taste of New Orleans! Plump shrimp and our own Creole seasoning sautéed with garlic butter, fresh chopped celery, green peppers, onions, diced tomatoes and a little hot sauce for some kick! Served with seasoned rice."
Rice Bowls,Orange Tenders Rice Bowl,14.49,"Tully's Tenders® tossed with broccoli, shredded carrots and our homemade orange citrus sauce. Served over seasoned rice and sprinkled with scallions."
Rice Bowls,Healthy Choice Life Bowl,13.99,"Southwest seasoned chicken with black beans, corn, pico de gallo, guacamole on a bed of seasoned rice with fresh cilantro and lime. (Under 600 calories)"
Rice Bowls,Chicken Fresca,15.99,"Chicken tenders sautéed in our light tomato white wine sauce with mushrooms, tomato bruschetta, roasted red peppers, Romano cheese and scallions. Served over seasoned rice."
Rice Bowls,Beef Birria Rice Bowl,15.69,"Shredded beef marinated in chipotle adobo on top of seasoned rice with pico de Gallo, creamy guacamole, black beans, shredded jack-cheddar cheese and fresh cilantro."
Rice Bowls,Blackened Shrimp Rice Bowl,13.99,"Blackened gulf shrimp, grilled with onions, corn, black beans and roasted red peppers. Served over rice with pico de gallo and fresh cilantro."
Shareable Desserts,Baked Apple Crumb Pie,7.99,"Two layers of apples, brown sugar and cinnamon homemade in our kitchen. Topped with vanilla ice cream, whipped cream, caramel sauce and sprinkled with more cinnamon."
Shareable Desserts,Pumpkin Cheesecake,7.99,"Homemade cheesecake topped with powdered sugar, whipped cream and cinnamon."
Shareable Desserts,Chocolate Chip Cookie Monster,7.99,"Two warm chocolate chip cookies topped with vanilla ice cream, hot fudge and whipped cream."
Shareable Desserts,Reese's Pieces® Cookie Monster,7.99,"Two warm chocolate chip cookies topped with vanilla ice cream, whipped cream, chocolate sauce, peanut butter sauce and crushed Reese’s Pieces®."
Shareable Desserts,Chocolate Peanut Butter Pie,7.99,"Homemade with chocolate crumb crust, creamy peanut butter, topped with semi-sweet chocolate and whipped cream."
Lunch Combos,Tully's Street Tacos,11.99,"Two flour tortillas filled with our signature Tully's Tenders®, shredded jack-cheddar cheese, pico de gallo, shredded lettuce and cilantro lime crema. Sprinkled with our taco seasoning and fresh cilantro. Served with homemade cowboy caviar."
Lunch Combos,Lunch Tuna Melt,11.99,Lunch size of our Classic Tuna Melt on rye with melted cheddar and tomato. Served with fries and a pickle spear.
Lunch Combos,Turkey Bacon Ranch,11.99,"Freshly shaved turkey and crispy bacon with cheddar cheese, lettuce and tomato on toasted deli bread with our homemade Ranch dressing. Served with fries and a pickle spear."
Lunch Combos,1/4lb Cheeseburger,11.99,"Our 1/4lb. burger with lettuce, tomato and topped with American cheese. Served with fries and pickle spear."
Lunch Combos,The Dublin,11.99,"Warm corned beef on a toasted roll with Swiss cheese, 1000 Island dressing and topped with fresh coleslaw. Served with fries and a pickle spear."
Lunch Combos,Soup & Sandwich Combo,11.99,"Baked Potato soup, paired with a turkey, ham, or tuna fish sandwich on a small sub roll with lettuce, tomato, and mayo. Served with a pickle spear. Substitute French Onion or Homemade Chili for $.99."
Lunch Combos,Soup & Tenders,11.99,Baked Potato soup and Tully's Tenders® with Tully's Honey Mustard for dipping. Substitute French Onion or Homemade Chili for $.99.
Lunch Combos,Chicken Tender Wrap,11.99,"Tully’s Tenders® diced and mixed with lettuce, tomato and Tully’s Honey Mustard. Served with fries and a pickle spear."
Lunch Favorites,Tully's Meatball Sub,11.69,A classic. Meatballs covered in our own marinara sauce topped with Romano and mozzarella cheese on a garlic butter grilled sub roll. Served with fries and a pickle spear.
Lunch Favorites,Chicken Caesar Wrap,11.99,Crisp romaine tossed in Caesar dressing with grilled chicken. Served with fries and a pickle spear.
Lunch Favorites,Lunch Fish Fry,11.99,"Lightly breaded haddock served with fries, tartar sauce and coleslaw."
Lunch Favorites,Tully's Tenders®,11.99,Our famous hand battered Tully's Tenders®. Served with fries and Tully's Honey Mustard for dipping. Sub Buffalo or Asian Tenders $.50.
Dinner Specials,Fiery 10oz Flat Iron Steak,21.99,"10oz USDA Choice Black Angus Flat Iron steak rubbed with our fiery habañero roasted garlic seasoning. Topped with homemade pico de Gallo, fried onion straws and fresh cilantro. Served with cowboy caviar and country mashed potatoes."
Dinner Specials,Petite Flat Iron Steak,16.79,6oz USDA choice Black Angus flat iron steak served with country mashed potatoes and fresh vegetables.
Dinner Specials,Steak and Shells Combo,19.99,6oz USDA Choice Black Angus Flat Iron steak served with our classic stuffed shells and garlic bread.
Dinner Specials,Steak and Tender Combo,19.79,6oz USDA choice Black Angus Flat Iron steak and Tully’s
Dinner Specials,Steak Fajita Bowl,17.99,"Seasoned Black Angus Flat Iron steak served with grilled onions, mushrooms and peppers, pico de gallo, guacamole and cowboy caviar. Served over seasoned riced and sprinkled with fresh cilantro and cheddar-jack cheese."
Dinner Specials,Baked Stuffed Shells,15.99,"Pasta shells stuffed with ricotta, herbs, and mozzarella cheese. Topped with our own marinara sauce and mozzarella cheese then baked until golden brown. Served with a side salad and garlic bread."
Dinner Specials,Orange Citrus Salmon,19.79,8oz Norwegian salmon grilled with our homemade orange citrus sauce. Served with seasoned rice and fresh vegetables.
Dinner Specials,Grilled Pork Chops,16.99,"Two center-cut loin pork chops seasoned with salt and pepper then grilled. Served with applesauce, coleslaw and country mashed potatoes."
Dinner Specials,Italian Style Mahi Mahi,17.79,"Grilled mahi mahi filet with Italian seasonings. Topped with a warm combination of black olives, roasted red peppers, homemade bruschetta and a sprinkle of Pecorino Romano cheese. Served with seasoned rice and fresh vegetables."
Little League Menu,Kid's Burger & Fries,6.99,Add cheese for $.30
Little League Menu,Tully's Tenders & Fries,6.99,No description available.
Little League Menu,Pasta Marinara,6.99,No description available.
Little League Menu,Grilled Cheese Sandwich & Fries,6.99,No description available.
Little League Menu,Macaroni & Cheese,6.99,No description available.
Little League Menu,Mozzarella Sticks & Fries,6.99,No description available.
Little League Menu,Tully's Tenders Salad,6.99,No description available.
Little League Menu,Cookie & Cream Dream,3.99,A creamy drink made with crumbled chocolate cookies and vanilla ice cream.
Little League Menu,Kiddie Cookie Sundae,3.99,"Vanilla ice cream, crushed chocolate cookies, chocolate syrup and whipped cream."
Little League Menu,Hot Fudge Sundae,3.99,No description available.
Little League Menu,Strawberry Fizz,2.29,"Sierra Mist, strawberry puree."
Little League Menu,Candy Apple,2.29,Apple juice and grenadine.
Little League Menu,Wild Berry Smoothie,5.99,No description available.
Little League Menu,Strawberry Smoothie,5.99,No description available.
